,Número receta,Nombre receta,ingredientes,ingredientes gustativos,ingredientes +elaboraciones,ingredientes + elaboraciones + técnicas,sabores,texturas
2014-2015,,,,,,,,
,9,La remolacha que sale de la tierra,"agua, azúcar, remolacha, clara de huevo en polvo, goma xantana, yogur en polvo","azúcar, remolacha, clara de huevo en polvo, yogur en polvo","jugo de remolacha, clara de huevo en polvo, jarabe 60%, yogur en polvo","merengue de remolacha, yogur en polvo","merengue seco de remolacha, yogur en polvo",crujiente
,10,Pétalos de rosa a la ginebra y frambuesa de lichi,"agua, azúcar, alginato sódico, agua mineral, agua de rosas, ginebra, goma xantana, gluconolactato cálcico, lichis en conserva","azúcar, agua de rosas, ginebra, lichis en conserva","agua de rosas, jarabe 100%, ginebra, jugo de lichi","esféricos de agua de rosas y ginebra, granizado de lichi y ginebra ","rosas, ginebra, lichi","liquido, helado"
,11,Lazo crujiente de panceta ibérica curada,"espaguetis de boniato deshidratados, clara de huevo pasteurizada, corteza de cerdo seca, panceta ibérica curada, agua, aceite de oliva, pimentón dulce,  pimentón picante","espaguetis de boniato deshidratados, clara de huevo pasteurizada, corteza de cerdo seca, panceta ibérica curada, aceite de oliva, pimentón dulce,  pimentón picante","espaguetis de boniato deshidratados, clara de huevo pasteurizada, corteza de cerdo seca, láminas de panceta ibérica curada, aceite de oliva, pimentón dulce,  pimentón picante, grasa fundida de panceta","lazos secos de boniato
y corteza de cerdo, láminas de panceta ibérica curada, grasa fundida de panceta, pimentón dulce,  pimentón picante","boniato, panceta ibérica curada, pimentón",crujiente
,12,Multipescadito frito con huevas de trucha frescas y alga Codium lyo,"obleas de arroz, clara de huevo pasteurizada, anchoas deshidratadas, alga Codium fresca, huevas de trucha frescas,  alga Codium liofilizada en polvo, alga Codium liofilizada, zumo de limón, piel rallada de limón","obleas de arroz, clara de huevo pasteurizada, anchoas deshidratadas, alga Codium fresca, huevas de trucha frescas,  alga Codium liofilizada en polvo, alga Codium liofilizada, zumo de limón, piel rallada de limón","obleas de arroz, clara de huevo pasteurizada, anchoas deshidratadas, alga Codium fresca, huevas de trucha frescas,  alga Codium liofilizada en polvo, alga Codium liofilizada, zumo de limón, piel rallada de limón","obleas de arroz secas con minipescadito, brotes de alga Codium, huevas de trucha frescas,  alga Codium liofilizada en polvo, alga Codium liofilizada, zumo de limón, piel rallada de limón","pescaditos fritos, alga Codium, limón",crujiente
,14,Avellana con saúco garrapiñada,"Avellana, aceite de maíz, sal,  concentrado de flor de saúco, goma xantana, manitol, pan de oro","Avellana, aceite de maíz, sal,  concentrado de flor de saúco, pan de oro","pasta de avellana tostada, núcleos de crema de avellana y saúco congelados, sal lustre, pan de oro","pasta de avellana tostada, núcleos de crema de avellana y saúco congelados, sal lustre, pan de oro","avellana tostada, flor de saúco, sal lustre, manitol","crujiente, cremoso"
,15,"Candy salado de nueces con mango, haba tonka y whisky","nuez pecana, aceite de girasol,sal, nueces peladas,obulatos cónicos,mango, manitol, aceite de girasol, whisky ahumado, habas tonka","nuez pecana, aceite de girasol,sal, nueces peladas,obulatos cónicos,mango, aceite de girasol, whisky ahumado, habas tonka","pasta de nuez pecana frita, trocitos de nuez tostada, raviolis de nuez, gajos de mango, raviolis de nuez caramelizados, sal lustre, whisky ahumado, habas tonka","raviolis de nuez caramelizados, gajos de mango, sal lustre, whisky ahumado, habas tonka","nuez pecana frita, nuez tostada, manitol, sal lustre, whisky ahumado, haba tonka, mango","cremoso, crujiente"
,17,Remolacha helada con caviar,"remolacha, clara de huevo en polvo,  goma xantana, caviar beluga, yogur natural","remolacha, clara de huevo en polvo, caviar beluga, yogur natural","merengue helado suflado de remolacha, caviar beluga, yogur natural, reducción de remolacha","merengue helado suflado de remolacha, caviar beluga, yogur natural, reducción de remolacha","merengue de remolacha, yogur natural, caviar beluga","cremoso, helado"
,18,Galleta Artiach de Idiazabal con jugo de manzana y apio,"queso Idiazabal ahumado, clara de huevo, nata líquida, manzana Granny Smith, ramita de apio, nueces peladas, aceita de girasol, limón","queso Idiazabal ahumado, clara de huevo, nata líquida, manzana Granny Smith, ramita de apio, nueces peladas, aceite de girasol, limón","Crujiente de queso Idiazabal, Galletas heladas de crema montada de queso Idiazabal, jugo de manzana y apio, praliné salado de nuez frita, limón","Crujiente de queso Idiazabal, Galletas heladas de crema montada de queso Idiazabal, jugo de manzana y apio, praliné salado de nuez frita, limón","crujiente de queso Idiazabal, crema de queso Idiazabal, nuez frita, piel de limón, jugo de manzana y apio","crujiente, helado"
,19,Ravioli transparente de pesto,"Parmigiano Reggiano, agua, panceta ibérica
curada, piñones, albahaca de hoja pequeña
, aceite de oliva virgen extra, obulatos cónicos","Queso Parmigiano Reggiano, panceta ibérica
curada, piñones, albahaca de hoja pequeña
, aceite de oliva virgen extra, obulatos cónicos","suero de queso parmesano, raviolis transparentes de pesto","suero de queso parmesano, raviolis transparentes de pesto","pesto, panceta ibérica curada","multitextura sólida, liquido"
,20,"Chip de aceite de calabaza
y rocas de flor de mandarino","agua, azúcar, obulato redondo, aceita de girasol,  zumo de mandarina, 
 flores frescas de mandarino, aceite de oliva suave, goma xantana, manteca de cacao, aceite virgen de calabaza, sal en escamas,Caviaroli de aceite de calabaza","azúcar, obulato redondo, aceita de girasol,  zumo de mandarina, flores frescas de mandarino, aceite de oliva suave, aceite virgen de calabaza, sal en escamas, Caviaroli de aceite de calabaza","chips de obulato, núcleos helados de esencia de flor de mandarino, rocas de infusión de flor de mandarino, Caviaroli de aceite de calabaza, aceite virgen de calabaza, sal en escamas","chips de obulato, núcleos helados de esencia de flor de mandarino, rocas de infusión de flor de mandarino, Caviaroli de aceite de calabaza, aceite virgen de calabaza, sal en escamas","aceite de calabaza, flor de mandarino","crujiente, liquido"
,24,Las primeras almendras tiernas con jugo de tomate a la marroquí,"almendra marcona cruda en granillo, agua, tomates maduros, goma xantana, zumo de mandarina, flores frescas de mandarino, aceite de oliva suave, aceite de girasol, almendrucos, especias ras el hanout, aceite virgen de almendra tostada, aceite virgen de nuez de argán, vinagre de Módena, Sal en escamas, fresitas del bosque, fresas Charlotte blancas, aceite virgen de almendra amarga","almendra marcona cruda en granillo, agua, tomates maduros, zumo de mandarina, flores frescas de mandarino, aceite de oliva suave, aceite de girasol, almendrucos, especias ras el hanout, aceite virgen de almendra tostada, aceite virgen de nuez de argán, vinagre de Módena, Sal en escamas, fresitas del bosque, fresas Charlotte blancas, aceite virgen de almendra amarga","Leche de almendra emulsionada, Agua de tomate cristalina ligada, Esencia de flor de mandarino, almendrucos repelado, especias ras el hanout, aceite virgen de
almendra tostada, aceite virgen de nuez de argán, vinagre de Módena, sal en escamas, fresitas del bosque, fresas Charlotte blancas, aceite virgen de almendra amarga","Leche de almendra emulsionada, Agua de tomate cristalina ligada, Esencia de flor de mandarino, almendrucos repelado, especias ras el hanout, aceite virgen de
almendra tostada, aceite virgen de nuez de argán, vinagre de Módena, sal en escamas, fresitas del bosque, fresas Charlotte blancas, aceite virgen de almendra amarga","almendra, flor de mandarino, vinagre de Módena, ras el hanout, fresita de bosque, fresa, agua de tomate, aceite de argán, aceite virgen de almendra tostada, aceite virgen de almendra amarga","solido, liquido"
,25,Polvorón de tomate y Caviaroli de arbequina,"tomate liofilizado en copos, maltodextrina de tapioca, aceite de oliva virgen extra, sal","tomate liofilizado en copos, aceite de oliva virgen extra, sal","Polvo de tomate liofilizado, Caviaroli de arbequina","polvorones de tomate y aceite
de oliva virgen extra,  Caviaroli de arbequina","polvorones de tomate, aceite de arbequina",polvorón
,26,Ensalada líquida,"agua mineral, alginato sódico,  aceitunas verdes manzanilla con hueso, goma xantana, gluconolactato, aceite de oliva virgen extra, pepino, vinagre de arroz, gelatina, tomates cherry maduros, lechuga romana, vinagre de jerez, ","aceitunas verdes manzanilla con hueso,, aceite de oliva virgen extra, pepino, vinagre de arroz, tomates cherry maduros, lechuga romana, vinagre de jerez, ","Aceitunas verdes esféricas, Granizado de pepino, Espuma fría de jugo de tomate, Jugo aliñado de lechuga","Aceitunas verdes esféricas, Granizado de pepino, Espuma fría de jugo de tomate, Jugo aliñado de lechuga","ensalada, aceituna","liquido,"
,28,Las aceitunas de Disfrutar,"aceitunas manzanilla con hueso, goma xantana, zumo de naranja sanguina, aceite de oliva virgen extra arbequina, manteca de cacao, colorante verde, colorante negro,  ácido cítrico granulado, pan recién horneado","aceitunas manzanilla con hueso, zumo de naranja sanguina, aceite de oliva virgen extra arbequina, manteca de cacao, colorante verde, colorante negro,  ácido cítrico granulado, pan recién horneado","Jugo de aceituna verde, Núcleos helados de jugo de aceituna, Núcleos helados de crema de naranja sanguina, manteca de cacao, aceite de oliva virgen extra, ácido cítrico granulado","aceitunas “negras”, aceitunas “verdes”, aceite de oliva virgen extra, ácido cítrico granulado","crema de naranja sanguina, jugo
de aceituna, aceite de oliva,","crujiente, liquido, cremoso"
,32,Yema de huevo crujiente con gelatina caliente de setas," ceps, trompeta de los muertos, agua
, salsa jang, agar-agar, gelatina,musgo fresco, aceite de maíz, harina de trigo, trisol, azúcar, sal,  levadura prensada, huevos de corral, aceite de oliva suave
"," ceps, trompeta de los muertos,salsa jang,musgo fresco, aceite de maíz, harina de trigo, azúcar, sal, huevos de corral, aceite de oliva suave
","Gelatina caliente de jugo de setas, Aceite de tierra, yemas de huevos de corral en tempura","Gelatina caliente de jugo de setas, Aceite de tierra, yemas de huevos de corral en tempura","tempura de yema de huevo, tierra, gelatina de seta","crujiente, gelatinoso"
,33,Bocadillo aéreo de buey de mar,"agua mineral, metilcelulosa, manzana Granny Smith, ácido ascórbico, goma xantana, clara de huevo en polvo, buey de mar, sal, coral de buey de mar, mayonesa, pasta de soja fermentada, aguacates, pimienta negra recién molida, lima, cilantro fresco","manzana Granny Smith, clara de huevo en polvo, buey de mar, sal, coral de buey de mar, mayonesa, pasta de soja fermentada, aguacates, pimienta negra recién molida, lima, cilantro fresco","bocadillos de merengue seco de manzana,  Carne de buey de mar aliñada, Láminas de aguacate, Dados de manzana con lima, pasta de soja fermentada, cilantro
","bocadillos de merengue seco de manzana,  Carne de buey de mar aliñada, Láminas de aguacate, Dados de manzana con lima, pasta de soja fermentada, cilantro
","merengue seco de manzana, buey de mar, aguacate, manzanas Granny Smith, lima, cilantro,soja","crujiente, cremoso"
