Número receta, ingredientes
1,   melón  +  oporto  +  aceite de oliva  +  sal
2,   trufa negra  +  avellana  +  sal
3,   pasta fresca  +  caviar  +  cigala  +  cebollino  +  limón
4,   cigala  +  patata  +  trufa negra  +  calamar  +  jugo de carne  +  oporto  +  mantequilla  +  endivia  +  sal
5,   piñón  +  mozzarella  +  tomate  +  orégano  +  trufa negra  +  calabacín en flor  +  nata  +  sal
6,   muslitos de codorniz  +  salsa de soja  +  espárrago verde  +  patata  +  ajo tierno  +  jengibre  +  menta fresca
7,   salmón fresco  +  patata  +  trufa negra  +  col  +  mayonesa  +  nata  +  sal
8,   judía verde  +  pinza de bogavante  +  avellana tierna  +  jamón ibérico  +  molleja de ternera  +  orégano fresco
9,   salmonete  +  patata  +  trufa de verano  +  perifollo  +  sal
10,  salmonete  +  chalota  +  pimiento rojo   +  calabacín  +  cebollino  +  tomate  +  anchoa  +  piñón
11,  dorada  +  patata  +  alioli  +  caldo de dorada  +  agua de mar  +  tomate  +  ajo  +  perejil  +  pimentón
12,  escórpora  +  mantequilla  +  romesco  +  calamar
13,  llucets  +  habita  +  esencia de cigala  +  mostaza  +  jamón ibérico
14,  llucets  +  cep  +  perejil  +  esencia de cigala  +  cebollino  +  trufa negra  +  vinagre de jerez  +  perifollo
15,  pularda  +  jugo de carne  +  trufa negra  +  oporto  +  mantequilla  +  foie-gras de pato  +  cep  +  sal
16,   atún  +  anchoa  +  albahaca  +  limón  +  piñón  +  ensaladas  +  cebollino
17,   erizo de mar  +  perejil  +  perifollo  +  cebollino  +  trufa negra  +  nata  +  mantequilla
18,   ostra  +  habita  +  limón  +  aceite de oliva  +  caviar
19,   almeja  +  trufa negra  +  cep  +  puerro  +  cava  +  cebollino
20,   cep  +  cañaillas  +  cebolla tierna  +  piñón  +  cebollino  +  vinagre de jerez  +  sal
21,   langosta  +  trufa negra  +  col  +  mayonesa  +  nata  +  cebolla  +  arroz  +  cebollino
22,   patata  +  cigala  +  cep  +  piñón  +  cebollino  +  vinagre de jerez  +  calamar  +  tomate  +  mayonesa  +  estragón
23,   espardenya  +  espárrago silvestre  +  rebozuelo  +  romesco  +  cebollino
24,   cigala  +  kokotxas de llucet  +  rebozuelo  +  patata  +  minicalabacín  +  trufa negra  +  cebollino  +  sal
25,   salmonete  +  morralet  +  jugo de carne  +  oreja de cerdo  +  alcachofa  +  níscalo  +  col  +  sal
